value,count,percent
Instagram,21,30.88%
Multiple,14,20.59%
Twitter,14,20.59%
Other,13,19.12%
Flickr,11,16.18%
Facebook,5,7.35%
Tiktok,3,4.41%
Weibo,2,2.94%
WikiArt,1,1.47%
Wikiloc,1,1.47%
MyFoodRepo,1,1.47%
