value,count,percent
"1k–9,999",25,36.76%
"10k–99,999",23,33.82%
"100k–999,999",7,10.29%
100–999,7,10.29%
≥1M,4,5.88%
Not mentioned,1,1.47%
Not reported,1,1.47%
